**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
64.0, elevID,1,  pos,-2,  cmd, goto,-2
65.0, elevID,0,  pos,-2,  cmd, goto,-2
65.0, elevID,1,  pos,-2,  cmd, goto,-2
66.0, elevID,0,  pos,-2,  cmd, goto,-2
66.0, elevID,1,  pos,-2,  cmd, goto,-2
67.0, elevID,0,  pos,-2,  cmd, goto,-2
67.0, elevID,1,  pos,-2,  cmd, goto,-2
68.0, elevID,0,  pos,-2,  cmd, goto,-2
68.0, elevID,1,  pos,-2,  cmd, goto,-2
69.0, elevID,0,  pos,-2,  cmd, goto,-2
69.0, elevID,1,  pos,-2,  cmd, goto,-2
70.0, elevID,0,  pos,-2,  cmd, goto,-2
70.0, elevID,1,  pos,-2,  cmd, goto,-2
71.0, elevID,0,  pos,-2,  cmd, goto,-2
71.0, elevID,1,  pos,-2,  cmd, goto,-2
72.0, elevID,0,  pos,-2,  cmd, goto,-2
72.0, elevID,1,  pos,-2,  cmd, goto,-2
73.0, elevID,0,  pos,-2,  cmd, goto,-2
73.0, elevID,1,  pos,-2,  cmd, goto,-2
74.0, elevID,0,  pos,-2,  cmd, goto,-2
74.0, elevID,1,  pos,-2,  cmd, goto,-2
75.0, elevID,0,  pos,-2,  cmd, goto,-2
75.0, elevID,1,  pos,-2,  cmd, goto,-2
76.0, elevID,0,  pos,-2,  cmd, goto,-2
76.0, elevID,1,  pos,-2,  cmd, goto,-2
77.0, elevID,0,  pos,-2,  cmd, goto,-2
77.0, elevID,1,  pos,-2,  cmd, goto,-2
78.0, elevID,0,  pos,-2,  cmd, goto,-2
78.0, elevID,1,  pos,-2,  cmd, goto,-2
79.0, elevID,0,  pos,-2,  cmd, goto,-2
79.0, elevID,1,  pos,-2,  cmd, goto,-2
80.0, elevID,0,  pos,-2,  cmd, goto,-2
80.0, elevID,1,  pos,-2,  cmd, goto,-2
81.0, elevID,0,  pos,-2,  cmd, goto,-2
81.0, elevID,1,  pos,-2,  cmd, goto,-2
82.0, elevID,0,  pos,-2,  cmd, goto,-2
82.0, elevID,1,  pos,-2,  cmd, goto,-2
83.0, elevID,0,  pos,-2,  cmd, goto,-2
83.0, elevID,1,  pos,-2,  cmd, goto,-2
84.0, elevID,0,  pos,-2,  cmd, goto,-2
84.0, elevID,1,  pos,-2,  cmd, goto,-2
85.0, elevID,0,  pos,-2,  cmd, goto,-2
85.0, elevID,1,  pos,-2,  cmd, goto,-2
86.0,Elevator call,85.5209666204754,3,2,1,1, got allocated to elevator, 1
86.0, elevID,0,  pos,-2,  cmd, goto,-2
86.0, elevID,1,  pos,-2,  cmd, goto,-2
87.0, elevID,0,  pos,-2,  cmd, goto,-2
87.0, elevID,1,  pos,-2,  cmd, goto,-2
88.0, elevID,0,  pos,-2,  cmd, goto,-2
88.0, elevID,1,  pos,-2,  cmd, goto,-2
89.0, elevID,0,  pos,-2,  cmd, goto,-2
89.0, elevID,1,  pos,-2,  cmd, goto,-2
90.0, elevID,0,  pos,-2,  cmd, goto,-2
90.0, elevID,1,  pos,-2,  cmd, goto,-2
91.0, elevID,0,  pos,-2,  cmd, goto,-2
91.0, elevID,1,  pos,-2,  cmd, goto,-2
92.0,Elevator call,91.21019413453945,-1,-2,1,0, got allocated to elevator, 0
92.0, elevID,0,  pos,-2,  cmd, goto,-2
92.0, elevID,1,  pos,-2,  cmd, goto,-2
93.0, elevID,0,  pos,-2,  cmd, goto,-2
93.0, elevID,1,  pos,-2,  cmd, goto,-2
94.0, elevID,0,  pos,-2,  cmd, goto,-2
94.0, elevID,1,  pos,-2,  cmd, goto,-2
95.0, elevID,0,  pos,-2,  cmd, goto,-2
95.0, elevID,1,  pos,-2,  cmd, goto,-2
96.0, elevID,0,  pos,-2,  cmd, goto,-2
96.0, elevID,1,  pos,-2,  cmd, goto,-2
97.0, elevID,0,  pos,-2,  cmd, goto,-2
97.0, elevID,1,  pos,-2,  cmd, goto,-2
98.0, elevID,0,  pos,-2,  cmd, goto,-2
98.0, elevID,1,  pos,-2,  cmd, goto,-2
99.0, elevID,0,  pos,-2,  cmd, goto,-2
99.0, elevID,1,  pos,-2,  cmd, goto,-2
100.0, elevID,0,  pos,-2,  cmd, goto,-2
100.0, elevID,1,  pos,-2,  cmd, goto,-2
101.0, elevID,0,  pos,-2,  cmd, goto,-2
101.0, elevID,1,  pos,-2,  cmd, goto,-2
102.0, elevID,0,  pos,-2,  cmd, goto,-2
102.0, elevID,1,  pos,-2,  cmd, goto,-2
103.0, elevID,0,  pos,-2,  cmd, goto,-2
103.0, elevID,1,  pos,-2,  cmd, goto,-2
104.0, elevID,0,  pos,-2,  cmd, goto,-2
104.0, elevID,1,  pos,-2,  cmd, goto,-2
105.0,Elevator call,104.13701241869234,0,4,1,1, got allocated to elevator, 1
105.0, elevID,0,  pos,-2,  cmd, goto,-2
105.0, elevID,1,  pos,-2,  cmd, goto,-2
106.0, elevID,0,  pos,-2,  cmd, goto,-2
106.0, elevID,1,  pos,-2,  cmd, goto,-2
107.0, elevID,0,  pos,-2,  cmd, goto,-2
107.0, elevID,1,  pos,-2,  cmd, goto,-2
108.0, elevID,0,  pos,-2,  cmd, goto,-2
108.0, elevID,1,  pos,-2,  cmd, goto,-2
109.0, elevID,0,  pos,-2,  cmd, goto,-2
